STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.595.543,15.955.430.000,số 30/2018/GCNCP-VSD,09/05/2018
2,Điều chỉnh lần 1,Đăng ký bổ sung,622.186,6.221.860.000,số 30/2018/GCNCP-VSD-1,18/09/2019
3,Điều chỉnh lần 2,Đăng ký bổ sung,842.624,8.426.240.000,số 30/2018/GCNCP-VSD-2,01/10/2020
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.000.000,10.000.000.000,30/2018/GCNCP-VSD-3,29/03/2021
5,Điều chỉnh lần 4,Đăng ký bổ sung,649.533,6.495.330.000,30/2018/GCNCP-VSD-4,14/10/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.709.886,47.098.860.000,,
