STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,2.000.000,số 54/2019/GCNCW-VSD,27/11/2019,
2,Điều chỉnh lần 1,đăng ký bổ sung,5.000.000,số 54/2019/GCNCW-VSD-1,30/03/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,7.000.000,,,
