STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,80.646.000,0.0,806.460.000.000,0.0,52/2008/GCNCP-CNTTLK,03/06/2008
Tổng cộng:,Tổng cộng:,Tổng cộng:,80.646.000,0.0,806.460.000.000,0.0,,
Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,80.646.000,,,,,
Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,806.460.000.000,,,,,
