STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,5.000.000,số 05/2019/GCNCW-VSD,21/06/2019,
2,Điều chỉnh lần 1,Đăng ký bổ sung,3.000.000,số 05/2019/GCNCW-VSD-1,23/09/2019,
3,Điều chỉnh lần 2,Đăng ký bổ sung,6.000.000,số 05/2019/GCNCW-VSD-2,18/11/2019,
Tổng cộng:,Tổng cộng:,Tổng cộng:,14.000.000,,,
