STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,1.000.000,số 09/2019/GCNCW-VSD,24/06/2019,
2,Điều chỉnh lần 1,đăng ký bổ sung,4.000.000,số 09/2019/GCNCW-VSD-1,19/08/2019,
3,Điều chỉnh lần 2,Đăng ký hủy 1 phần,-2.000.000,số 09/2019/GCNCW-VSD-2,19/11/2019,
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.000.000,,,
