STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,56.800.000,568.000.000.000,số 102/2016/GCCXH-VSD,20/09/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,56.800.000,568.000.000.000,,
