STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,16.200.000,162.000.000.000,54/2006/GCNCP-CNTTLK,05/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,647.727,6.477.270.000,26/2007/GCNCP-CNTTLK,25/05/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.683.893,16.838.930.000,59/2008/GCNCP-CNTTLK,18/06/2008
4,Điều chỉnh lần 4,Đăng ký bổ sung,11.465.960,114.659.600.000,59/2008/GCNCP-VSD-4,05/12/2011
5,Điều chỉnh lần 5,Đăng ký bổ sung,31.497.459,314.974.590.000,59/2008/GCNCP-VSD-5,25/12/2013
6,Điều chỉnh lần 6,Đăng ký bổ sung,1.499.879,14.998.790.000,54/2006/GCNCP-VSD-6,04/09/2014
7,Điều chỉnh lần 7,Đăng ký bổ sung,60.349.080,603.490.800.000,54/2006/GCNCP-VSD-7,30/11/2015
8,Điều chỉnh lần 8,Đăng ký bổ sung,6.167.200,61.672.000.000,số 54/2006/GCNCP-VSD-8,11/07/2016
9,Điều chỉnh lần 9,Đăng ký bổ sung,168.363.251,1.683.632.510.000,54/2006/GCNCP-VSD-9,16/05/2017
Tổng cộng:,Tổng cộng:,Tổng cộng:,297.874.449,2.978.744.490.000,,
