STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,10.000.000,92/2021/GCNCW-VSD,24/08/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,10.000.000,,,
