STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,34.500.000,345.000.000.000,số 66/2018/GCNCP-VSD,07/08/2018
2,Điều chỉnh lần 1,Đăng ký bổ sung,7.499.940,74.999.400.000,số 66/2018/GCNCP-VSD-1,03/07/2019
3,Điều chỉnh lần 2,Đăng ký bổ sung,6.299.977,62.999.770.000,số 66/2018/GCNCP-VSD-2,06/09/2019
4,Điều chỉnh lần 3,Thay đổi tên TCPH,0,0,số 66/2018/GCNCP-VSD-3,23/09/2019
5,Điều chỉnh lần 4,Đăng ký bổ sung,7.500.060,75.000.600.000,số 66/2018/GCNCP-VSD-4,16/04/2020
6,Điều chỉnh lần 5,Đăng ký bổ sung,7.244.987,72.449.870.000,số 66/2018/GCNCP-VSD-5,05/05/2020
7,Điều chỉnh lần 6,Đăng ký bổ sung,12.608.927,126.089.270.000,66/2018/GCNCP-VSD-6,02/08/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,75.653.891,756.538.910.000,,
