STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,2.000.000,20.000.000.000,84/2015/GCNCP-VSD,30/09/2015
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.000.000,20.000.000.000,,
