STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,18.900.000,189.000.000.000,số 240/2017/GCNCP-VSD,29/12/2017
2,Điều chỉnh lần 1,Đăng ký bổ sung,11.340.000,113.400.000.000,số 240/2017/GCNCP-VSD-1,08/10/2018
Tổng cộng:,Tổng cộng:,Tổng cộng:,30.240.000,302.400.000.000,,
