STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,10.000.000,100.000.000.000,04/2012/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 13/02/2012,13/02/2012
2,Điều chỉnh lần 1,Đăng ký bổ sung,18.068.900,180.689.000.000,04/2012/GCNCP-VSD-01,27/02/2014
Tổng cộng:,Tổng cộng:,Tổng cộng:,28.068.900,280.689.000.000,,
