STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,3.000.000,số 39/2019/GCNCW-VSD,17/10/2019,
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.000.000,,,
