STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,10.263.000,102.630.000.000,53/2006/GCNCP-CNTTLK,30/11/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.737.000,17.370.000.000,61/2007/GCNCP-CNTTLK,08/08/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,3.000.000,30.000.000.000,54/2008/GCNCP-CNTTLK,28/05/2008
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.500.000,15.000.000.000,82/2008/GCNCP-CNTTLK,15/08/2008
5,Điều chỉnh lần 4,Đăng ký bổ sung,4.035.272,40.352.720.000,134/2009/GCNCP-CNVSD,25/12/2009
6,Điều chỉnh lần 5,Đăng ký bổ sung,2.014.850,20.148.500.000,96/2010/GCNCP-CNVSD,29/06/2010
7,Điều chỉnh lần 6,Đăng ký bổ sung,4.437.721,44.377.210.000,53/2006/GCNCP-VSD-5,27/07/2011
8,Điều chỉnh lần 7,Đăng ký bổ sung,3.993.450,39.934.500.000,53/2006/GCNCP-VSD-7,14/07/2015
9,Điều chỉnh lần 8,Đăng ký bổ sung,15.490.414,154.904.140.000,số 53/2006/GCNCP-VSD-8,26/07/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,46.471.707,464.717.070.000,,
