STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,7.100.000,0.0,71.000.000.000,0.0,02/2021/GCNETF-VSD,13/12/2021
2,Điều chỉnh lần 1,,200.000,0.0,2.000.000.000,0.0,02/2021/GCNETF-VSD-1,10/01/2022
3,Điều chỉnh lần 2,,1.000.000,0.0,10.000.000.000,0.0,02/2021/GCNETF-VSD-2,13/01/2022
4,Điều chỉnh lần 3,,600.000,0.0,6.000.000.000,0.0,02/2021/GCNETF-VSD-3,26/01/2022
5,Điều chỉnh lần 4,,100.000,0.0,1.000.000.000,0.0,02/2021/GCNETF-VSD-4,21/02/2022
6,Điều chỉnh lần 5,,500.000,0.0,5.000.000.000,0.0,02/2021/GCNETF-VSD-5,24/02/2022
7,Điều chỉnh lần 6,,500.000,0.0,5.000.000.000,0.0,02/2021/GCNETF-VSD-6,28/02/2022
8,Điều chỉnh lần 7,,1.000.000,0.0,10.000.000.000,0.0,02/2021/GCNETF-VSD-7,14/04/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,11.000.000,0.0,110.000.000.000,0.0,,
Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,11.000.000,,,,,
Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,110.000.000.000,,,,,
