STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,13.496.600,134.966.000.000,39/2011/GNCP-VSD,03/06/2011
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.103.400,21.034.000.000,số 39/2011/GCNCP-VSD-1,07/02/2018
3,Điều chỉnh lần 2,Thay đổi tên TCPH,0,0,39/2011/GCNCP- VSD-2,20/04/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,15.600.000,156.000.000.000,,
