STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.750.000,57.500.000.000,số 237/2017/GCNCP-VSD,28/12/2017
Tổng cộng:,Tổng cộng:,Tổng cộng:,5.750.000,57.500.000.000,,
