STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,1.000.000,113/2021/GCNCW-VSD,21/09/2021,
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.000.000,113/2021/GCNCW-VSD-1,22/11/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.000.000,,,
