STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,2.000.000,20.000.000.000,20/2007/GCNCP-TTLK,10/12/2007
2,Điều chỉnh lần 1,Đăng ký bổ sung,724.478,7.244.780.000,20/2007/GCNCP-TTLK-1,13/10/2008
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.724.478,27.244.780.000,20/2007/GCNCP-VSD-2,19/05/2010
4,Điều chỉnh lần 4,Đăng ký bổ sung,10.272.447,102.724.470.000,20/2007/GCNCP-VSD-4,24/08/2010
5,Điều chỉnh lần 5,Đăng ký bổ sung,653.875,6.538.750.000,20/2007/GCNCP-VSD-5,30/09/2010
6,Điều chỉnh lần 6,Đăng ký bổ sung,17.124.722,171.247.220.000,20/2007/GCNCP-VSD-6,11/05/2011
7,Điều chỉnh lần 7,Đăng ký bổ sung,1.272.988,12.729.880.000,20/2007/GCNCP-VSD-7,26/12/2012
8,Điều chỉnh lần 8,Đăng ký bổ sung,3.538.000,35.380.000.000,20/2007/GCNCP-VSD-8,05/03/2014
9,Điều chỉnh lần 9,Đăng ký bổ sung,22.000.000,220.000.000.000,20/2007/GCNCP-VSD-9,16/12/2014
Tổng cộng:,Tổng cộng:,Tổng cộng:,60.310.988,603.109.880.000,,
