STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,22.125.000,221.250.000.000,241/2010/GCNCP-VSD,04/10/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,7.175.000,71.750.000.000,241/2010/GCNCP-VSD-1,30/12/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,7.324.909,73.249.090.000,241/2010/GCNCP-VSD-2,22/05/2012
4,Điều chỉnh lần 3,Đăng ký bổ sung,715.000,7.150.000.000,241/2010/GCNCP-VSD-3,10/12/2013
5,Điều chỉnh lần 4,Đăng ký bổ sung,600.000,6.000.000.000,241/2010/GCNCP-VSD-4,03/03/2014
6,Điều chỉnh lần 5,Đăng ký bổ sung,3.032.089,30.320.890.000,241/2010/GCNCP-VSD-5,16/07/2015
7,Điều chỉnh lần 6,Đăng ký bổ sung,600.000,6.000.000.000,số 241/2010/GCNCP-VSD-6,27/01/2016
8,Điều chỉnh lần 7,Đăng ký bổ sung,800.000,8.000.000.000,số 241/2010/GCNCP-VSD-7,29/04/2016
9,Điều chỉnh lần 8,Đăng ký bổ sung,4.225.377,42.253.770.000,số 241/2010/GCNCP-VSD-8,26/07/2016
10,Điều chỉnh lần 9,Đăng ký bổ sung,1.000.000,10.000.000.000,số 241/2010/GCNCP-VSD-9,04/04/2017
11,Điều chỉnh lần 10,Đăng ký bổ sung,3.330.868,33.308.680.000,241/2010/GCNCP-VSD-10,11/10/2017
12,Điều chỉnh lần 11,Thay đổi tên TCPH,0,0,241/2010/GCNCP-VSD-11,23/05/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,50.928.243,509.282.430.000,,
