STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,5.000.000,số 14/2020/GCNCW-VSD,16/01/2020,
2,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-2.000.000,số 14/2020/GCNCW-VSD-1,01/04/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.000.000,,,
