STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,1.500.000,152/2021/GCNCW-VSD,19/10/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.500.000,,,
