STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,35.500.000,355.000.000.000,số 39/2020/GCNCP-VSD,02/06/2020
Tổng cộng:,Tổng cộng:,Tổng cộng:,35.500.000,355.000.000.000,,
