STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,3.500.000,số 149/2020/GCNCW-VSD,25/09/2020,
2,Điều chỉnh lần 1,Đăng ký bổ sung,3.500.000,149/2020/GCNCW-VSD-1,19/01/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,7.000.000,,,
