STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,2.000.000,200.000.000.000,52/2015/GCNTP-VSD,11/08/2015
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.000.000,200.000.000.000,,
