STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,9.247.500,92.475.000.000,73/2006/GCNCP-CNTTLK,25/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,3.791.052,37.910.520.000,31/2007/GCNCP-CNTTLK,31/05/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.346.072,23.460.720.000,78/2008/GCNCP-CNTTLK,08/08/2008
4,Điều chỉnh lần 3,Đăng ký bổ sung,15.384.624,153.846.240.000,73/2006/GCNCP-VSD-3,28/06/2010
5,Điều chỉnh lần 4,Đăng ký bổ sung,15.384.617,153.846.170.000,73/2006/GCNCP-VSD-4,29/06/2011
6,Điều chỉnh lần 5,Đăng ký bổ sung,23.075.080,230.750.800.000,73/2006/GCNCP-VSD-5,07/06/2012
7,Điều chỉnh lần 6,Đăng ký bổ sung,13.844.904,138.449.040.000,73/2006/GCNCP-VSD-6,07/06/2013
8,Điều chỉnh lần 7,Đăng ký bổ sung,8.306.154,83.061.540.000,73/2006/GCNCP-VSD-7,06/07/2015
9,Điều chỉnh lần 8,Đăng ký bổ sung,27.412.602,274.126.020.000,số 73/2006/GCNCP-VSD-8,15/07/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,118.792.605,1.187.926.050.000,,
