STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.500.000,150.000.000.000,số 08/2017/GCNTP-VSD,20/03/2017
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.500.000,150.000.000.000,,
