STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,179.814.501,1.798.145.010.000,113/2008/GCNCP-CNVSD,11/12/2008
2,Điều chỉnh lần 1,Đăng ký bổ sung,90.650.957,906.509.570.000,108/2009/GCNCP-CNVSD,01/12/2009
3,Điều chỉnh lần 2,Đăng ký bổ sung,22.055.239,220.552.390.000,76/2010/GCNCP-CNVSD,25/05/2010
4,Điều chỉnh lần 3,Đăng ký bổ sung,19.000.000,190.000.000.000,113/2008/GCNCP-VSD-3,31/12/2010
5,Điều chỉnh lần 4,Đăng ký bổ sung,155.759.893,1.557.598.930.000,113/2008/GCNCP-VSD-4,18/02/2011
6,Điều chỉnh lần 5,Đăng ký bổ sung,70.090.459,700.904.590.000,113/2008/GCNCP-VSD-5,25/05/2012
7,Điều chỉnh lần 6,Đăng ký bổ sung,107.474.210,1.074.742.100.000,113/2008/GCNCP-VSD-6,20/06/2013
8,Điều chỉnh lần 7,Đăng ký bổ sung,73.309.434,733.094.340.000,113/2008/GCNCP-VSD-7,26/07/2013
9,Điều chỉnh lần 8,Đăng ký bổ sung,71.813.254,718.132.540.000,113/2008/GCNCP-VSD-8,23/09/2014
10,Điều chỉnh lần 9,Đăng ký bổ sung,137.500.000,1.375.000.000.000,113/2008/GCNCP-VSD-9,11/08/2017
Tổng cộng:,Tổng cộng:,Tổng cộng:,927.467.947,9.274.679.470.000,,
