STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.600.000,56.000.000.000,35/GCN/TTGD-LK,13/12/2001
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.700.000,17.000.000.000,24/2006/GCNCP-CNTTLK,14/08/2006
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.447.426,14.474.260.000,34/2006/GCNCP-CNTTLK,26/10/2006
4,Điều chỉnh lần 3,Đăng ký bổ sung,242.574,2.425.740.000,01/2007/GCNCP-CNTTLK,09/01/2007
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.071.700,10.717.000.000,27/2007/GCNCP-CNTTLK,28/05/2007
6,Điều chỉnh lần 5,Đăng ký bổ sung,100.000,1.000.000.000,37/2007/GCNCP-CNTTLK,21/06/2007
7,Điều chỉnh lần 6,Đăng ký bổ sung,609.082,6.090.820.000,04/2008/GCNCP-CNTTLK,08/01/2008
8,Điều chỉnh lần 7,Đăng ký bổ sung,4.650.000,46.500.000.000,32/2008/GCNCP-CNTTLK,12/03/2008
9,Điều chỉnh lần 8,Đăng ký bổ sung,3.331.905,33.319.050.000,35/2001/GCNCP-VSD-9,23/02/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,18.752.687,187.526.870.000,,
