STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,8.133.855,81.338.550.000,113/2009/GCNCP-CNVSD,09/12/2009
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.624.589,16.245.890.000,106/2010/GCNCP-CNVSD,19/07/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.924.309,29.243.090.000,113/2009/GCNCP-VSD-2,05/10/2011
4,Điều chỉnh lần 3,Đăng ký bổ sung,290.000,2.900.000.000,113/2009/GCNCP-CNVSD-3,01/08/2012
5,Điều chỉnh lần 4,Đăng ký bổ sung,310.000,3.100.000.000,113/2009/GCNCP-CNVSD-4,28/02/2013
6,Điều chỉnh lần 5,Đăng ký bổ sung,4.402.683,44.026.830.000,113/2009/GCNCP-VSD-5,13/08/2015
7,Điều chỉnh lần 6,Đăng ký bổ sung,600.000,6.000.000.000,số 113/2009/GCNCP-VSD-6,06/07/2016
8,Điều chỉnh lần 6,Đăng ký bổ sung,600.000,600.000.000,số 113/2009/GCNCP-VSD-6,06/07/2016
9,Điều chỉnh lần 7,Đăng ký bổ sung,5.484.753,54.847.530.000,113/2009/GCNCP-VSD-7,05/07/2017
10,Điều chỉnh lần 8,Đăng ký bổ sung,7.130.166,71.301.660.000,số 113/2009/GCNCP-VSD-8,19/07/2018
11,Điều chỉnh lần 9,Đăng ký bổ sung,713.106,7.131.060.000,số 113/2009/GCNCP-VSD-9,21/08/2018
12,Điều chỉnh lần 10,Đăng ký bổ sung,475.403,4.754.030.000,số 113/2009/GCNCP-VSD-10,02/08/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,32.088.864,320.888.640.000,,
