STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,14.990.000,149.900.000.000,161/2010/GCNCP-VSD,09/07/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,3.409.702,34.097.020.000,161/2010/GCNCP-VSD-1,13/12/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,30.600.298,306.002.980.000,Số 161/2010/GCNCP-VSD-2,22/04/2016
4,Điều chỉnh lần 3,Thay đổi tên TCPH,0,0,số 161/2010/GCNCP-VSD-3,12/06/2018
5,Điều chỉnh lần 4,Đăng ký bổ sung,9.799.933,97.999.330.000,161/2010/GCNCP-VSD-4,30/07/2018
6,Điều chỉnh lần 5,Đăng ký bổ sung,2.200.000,22.000.000.000,số 161/2010/GCNCP-VSD-5,12/09/2018
7,Điều chỉnh lần 6,Đăng ký bổ sung,60.353.933,603.539.330.000,161/2010/GCNCP-VSD-6,09/05/2022
8,Điều chỉnh lần 7,Đăng ký bổ sung,3.000.000,30.000.000.000,161/2010/GCNCP-VSD-7,10/05/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,124.353.866,1.243.538.660.000,,
