STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,7.017.130,70.171.300.000,15/2010/GCNCP-VSD,19/01/2010
2,Điều chỉnh lần 1,Thay đổi tên TCPH,0,0,15/2010/GCNCP-VSD-1,25/05/2012
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.052.177,10.521.770.000,15/2010/GCNCP-VSD-2,04/10/2012
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.209.954,12.099.540.000,15/2010/GCNCP-VSD-3,22/01/2015
Tổng cộng:,Tổng cộng:,Tổng cộng:,9.279.261,92.792.610.000,,
