STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,10.000.000,số 145/2020/GCNCW-VSD,18/09/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,10.000.000,,,
