STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,59.999.993,599.999.930.000,101/2009/GCNCP-CNVSD,16/11/2009
2,Điều chỉnh lần 1,Đăng ký bổ sung,5.998.080,59.980.800.000,125/2010/GCNCP-CNVSD,13/08/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,13.199.596,131.995.960.000,101/2009/GCNCP-CNVSD-2,05/10/2012
4,Điều chỉnh lần 3,Đăng ký bổ sung,40.802.324,408.023.240.000,101/2009/GCNCP-CNVSD-3,24/09/2013
5,Điều chỉnh lần 4,Đăng ký bổ sung,11.999.817,119.998.170.000,101/2009/GCNCP-CNVSD-4,07/10/2014
6,Điều chỉnh lần 5,Đăng ký bổ sung,57.199.522,571.995.220.000,101/2009/GCNCP-CNVSD-5,04/05/2015
7,Điều chỉnh lần 6,Đăng ký bổ sung,37.838.959,378.389.590.000,số 101/2009/GCNCP-CNVSD-6,31/03/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,227.038.291,2.270.382.910.000,,
