STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,14.998.258,149.982.580.000,số 55/2017/GCNCP-VSD,27/02/2017
2,Điều chỉnh lần 1,Đăng ký bổ sung,4.992.762,49.927.620.000,55/2017/GCNCP-VSD-01,16/04/2020
Tổng cộng:,Tổng cộng:,Tổng cộng:,19.991.020,199.910.200.000,,
