STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,2.940.000,29.400.000.000,76/2009/GCNCP-VSD,23/10/2009
2,Điều chỉnh lần 1,Đăng ký bổ sung,4.402.986,44.029.860.000,76/2009/GCNCP-VSD-1,06/09/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.657.014,26.570.140.000,76/2009/GCNCP-VSD-2,02/11/2010
4,Điều chỉnh lần 3,Thay đổi tên TCPH,0,0,76/2009/GCNCP-VSD-3,10/11/2010
5,Điều chỉnh lần 4,Đăng ký bổ sung,999.977,9.999.770.000,76/2009/GCNCP-VSD-4,12/08/2011
6,Điều chỉnh lần 5,Đăng ký bổ sung,9.899.979,98.999.790.000,76/2009/GCNCP-VSD-5,14/09/2017
7,Điều chỉnh lần 6,Đăng ký bổ sung,2.507.799,25.077.990.000,số 76/2009/GCNCP-VSD-6,23/11/2018
8,Điều chỉnh lần 7,Đăng ký bổ sung,2.340.505,23.405.050.000,số 76/2009/GCNCP-VSD-7,20/11/2019
9,Điều chỉnh lần 8,Đăng ký bổ sung,2.059.537,20.595.370.000,76/2009/GCNCP-VSD-8,22/11/2021
10,Điều chỉnh lần 9,Đăng ký bổ sung,22.874.130,228.741.300.000,76/2009/GCNCP-VSD-9,20/12/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,50.681.927,506.819.270.000,,
