STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,1.000.000,15/2021/GCNCW-VSD,19/01/2021,
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.000.000,15/2021/GCNCW-VSD-1,19/03/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.000.000,,,
