STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,155.000.000,1.550.000.000.000,92/2015/GCNCP-VSD,08/10/2015
2,Điều chỉnh lần 1,Đăng ký bổ sung,77.000.000,770.000.000.000,số 92/2015/GCNCP-VSD-1,13/02/2017
3,Điều chỉnh lần 2,Đăng ký bổ sung,34.800.000,348.000.000.000,92/2015/GCNCP-VSD-2,24/07/2017
4,Điều chỉnh lần 3,Đăng ký bổ sung,72.000.000,720.000.000.000,số 92/2015/GCNCP-VSD-3,17/07/2018
5,Điều chỉnh lần 4,Đăng ký bổ sung,67.760.000,677.600.000.000,92/2015/GCNCP-VSD-4,10/09/2018
6,Điều chỉnh lần 5,Đăng ký bổ sung,18.000.000,180.000.000.000,số 92/2015/GCNCP-VSD-5,09/07/2019
7,Điều chỉnh lần 6,Đăng ký bổ sung,63.684.000,636.840.000.000,số 92/2015/GCNCP-VSD-6,26/09/2019
8,Điều chỉnh lần 7,Thay đổi tên TCPH,0,0,92/2015/GCNCP-VSD-7,13/07/2021
9,Điều chỉnh lần 8,Đăng ký bổ sung,292.946.400,2.929.464.000.000,92/2015/GCNCP-VSD-8,30/07/2021
10,Điều chỉnh lần 9,Đăng ký bổ sung,70.305.393,703.053.930.000,92/2015/GCNCP-VSD-9,16/12/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,851.495.793,8.514.957.930.000,,
