STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,9.609.062,96.090.620.000,24/2009/GCNCP-TTLK,17/06/2009
2,Điều chỉnh lần 1,Đăng ký bổ sung,5.433.662,54.336.620.000,24/2009/GCNCP-VSD-1,16/04/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.800.000,28.000.000.000,24/2009/GCNCP-VSD-2,31/05/2010
4,Điều chỉnh lần 3,Đăng ký bổ sung,376.000,3.760.000.000,24/2009/GCNCP-VSD-3,10/11/2010
5,Điều chỉnh lần 4,Đăng ký bổ sung,4.340.306,43.403.060.000,24/2009/GCNCP-VSD-4,19/07/2012
Tổng cộng:,Tổng cộng:,Tổng cộng:,22.559.030,225.590.300.000,,
