STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,33.499.366,334.993.660.000,số 48/2014/GCNCP-VSD cấp ngày 30/06/2014,30/06/2014
2,Điều chỉnh lần 1,Đăng ký bổ sung,8.709.766,87.097.660.000,48/2014/GCNCP-VSD-1,21/07/2015
3,Điều chỉnh lần 2,Đăng ký bổ sung,7.799.743,77.997.430.000,số 48/2014/GCNCP-VSD-2,17/08/2016
4,Điều chỉnh lần 3,Đăng ký bổ sung,57.794.936,577.949.360.000,số 48/2014/GCNCP-VSD-3,04/10/2018
5,Điều chỉnh lần 4,Thay đổi tên TCPH,0,0,số 48/2014/GCNCP-VSD-4,22/04/2019
6,Điều chỉnh lần 5,Đăng ký bổ sung,16.169.805,161.698.050.000,số 48/2014/GCNCP-VSD-5,30/05/2019
7,Điều chỉnh lần 6,Đăng ký bổ sung,5.390.000,53.900.000.000,số 48/2014/GCNCP-VSD-6,03/09/2019
8,Điều chỉnh lần 7,Đăng ký bổ sung,19.403.327,194.033.270.000,số 48/2014/GCNCP-VSD-7,25/08/2020
9,Điều chỉnh lần 8,Đăng ký bổ sung,22.313.613,223.136.130.000,48/2014/GCNCP-VSD-8,28/05/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,171.080.556,1.710.805.560.000,,
