STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,10.000.000,1.000.000.000.000,03/2012/GCNTPKB do VSD cấp ngày 11/09/2012,11/09/2012
Tổng cộng:,Tổng cộng:,Tổng cộng:,30.000.000,3.000.000.000.000,,
