STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,26.200.000,0,262.000.000.000,0,số 01/2020/GCNETF-VSD,26/02/2020
2,Điều chỉnh lần 1,giao dịch hoán đổi,500.000,0,5.000.000.000,0,số 01/2020/GCNETF-VSD-01,30/03/2020
3,Điều chỉnh lần 2,giao dịch hoán đổi,3.000.000,0,30.000.000.000,0,số 01/2020/GCNETF-VSD-02,11/05/2020
4,Điều chỉnh lần 3,giao dịch hoán đổi,5.400.000,0,54.000.000.000,0,số 01/2020/GCNETF-VSD-03,20/05/2020
5,Điều chỉnh lần 4,giao dịch hoán đổi,2.700.000,0,27.000.000.000,0,số 01/2020/GCNETF-VSD-04,21/05/2020
6,Điều chỉnh lần 5,giao dịch hoán đổi,3.900.000,0,39.000.000.000,0,số 01/2020/GCNETF-VSD-05,25/05/2020
7,Điều chỉnh lần 6,giao dịch hoán đổi,5.500.000,0,55.000.000.000,0,số 01/2020/GCNETF-VSD-06,26/05/2020
8,Điều chỉnh lần 7,Giao dịch hoán đổi,4.900.000,0,49.000.000.000,0,01/2020/GCNETF-VSD-07,03/06/2020
9,Điều chỉnh lần 8,giao dịch hoán đổi,100.000,0,1.000.000.000,0,số 01/2020/GCNETF-VSD-08,04/06/2020
10,Điều chỉnh lần 9,giao dịch hoán đổi,2.700.000,0,27.000.000.000,0,số 01/2020/GCNETF-VSD-09,08/06/2020
11,Điều chỉnh lần 10,giao dịch hoán đổi,1.000.000,0,10.000.000.000,0,số 01/2020/GCNETF-VSD-10,09/06/2020
12,Điều chỉnh lần 11,giao dịch hoán đổi,12.000.000,0,120.000.000.000,0,số 01/2020/GCNETF-VSD-11,17/06/2020
13,Điều chỉnh lần 12,,200.000,0,2.000.000.000,0,số 01/2020/GCNETF-VSD-12,18/06/2020
14,Điều chỉnh lần 13,,1.000.000,0,10.000.000.000,0,số 01/2020/GCNETF-VSD-13,23/06/2020
15,Điều chỉnh lần 14,,0,-100.000,0,-1.000.000.000,số 01/2020/GCNETF-VSD-14,24/06/2020
16,Điều chỉnh lần 15,,200.000,0,2.000.000.000,0,số 01/2020/GCNETF-VSD-15,07/07/2020
17,Điều chỉnh lần 16,,2.700.000,0,27.000.000.000,0,số 01/2020/GCNETF-VSD-16,22/07/2020
18,Điều chỉnh lần 7,,2.700.000,0,27.000.000.000,0,số 01/2020/GCNETF-VSD-17,23/07/2020
19,Điều chỉnh lần 18,,2.700.000,0,27.000.000.000,0,số 01/2020/GCNETF-VSD-18,24/07/2020
20,Điều chỉnh lần 19,,3.100.000,0,31.000.000.000,0,01/2020/GCNETF-VSD,27/07/2020
21,Điều chỉnh lần 20,,0,-2.500.000,0,-25.000.000.000,số 01/2020/GCNETF-VSD-20,10/09/2020
22,Điều chỉnh lần 21,,0,-2.500.000,0,-25.000.000.000,số 01/2020/GCNETF-VSD-21,11/09/2020
23,Điều chỉnh lần 22,,0,-2.000.000,0,-20.000.000.000,số 01/2020/GCNETF-VSD-22,14/09/2020
24,Điều chỉnh lần 23,,2.500.000,0,25.000.000.000,0,số 01/2020/GCNETF-VSD-23,23/09/2020
25,Điều chỉnh lần 24,,2.500.000,0,25.000.000.000,0,số 01/2020/GCNETF-VSD-24,24/09/2020
26,Điều chỉnh lần 25,,1.000.000,0,10.000.000.000,0,số 01/2020/GCNETF-VSD-25,25/09/2020
27,Điều chỉnh lần 26,,1.000.000,0,10.000.000.000,0,số 01/2020/GCNETF-VSD-26,28/09/2020
28,Điều chỉnh lần 27,,1.500.000,0,15.000.000.000,0,số 01/2020/GCNETF-VSD-27,30/09/2020
29,Điều chỉnh lần 28,,700.000,0,7.000.000.000,0,số 01/2020/GCNETF-VSD-28,06/10/2020
30,Điều chỉnh lần 29,,100.000,0,1.000.000.000,0,số 01/2020/GCNETF-VSD-29,13/10/2020
31,Điều chỉnh lần 30,,100.000,0,1.000.000.000,0,số 01/2020/GCNETF-VSD-30,28/10/2020
32,Điều chỉnh lần 31,,0,-300.000,0,-3.000.000.000,số 01/2020/GCNETF-VSD-31,18/11/2020
33,Điều chỉnh lần 32,Đăng ký bổ sung,0,-1.000.000,0,-10.000.000.000,số 01/2020/GCNETF-VSD-32,30/11/2020
34,Điều chỉnh lần 33,,0,-2.000.000,0,-20.000.000.000,số 01/2020/GCNETF-VSD-33,02/12/2020
35,Điều chỉnh lần 34,,0,-2.200.000,0,-22.000.000.000,số 01/2020/GCNETF-VSD-34,04/12/2020
36,Điều chỉnh lần 35,,0,-1.000.000,0,-10.000.000.000,số 01/2020/GCNETF-VSD-35,07/12/2020
37,Điều chỉnh lần 36,,0,-1.000.000,0,-10.000.000.000,số 01/2020/GCNETF-VSD-36,10/12/2020
38,Điều chỉnh lần 37,,6.000.000,0,60.000.000.000,0,số 01/2020/GCNETF-VSD-37,17/12/2020
39,Điều chỉnh lần 38,,2.000.000,0,20.000.000.000,0,số 01/2020/GCNETF-VSD-38,08/01/2021
40,Điều chỉnh lần 39,,6.000.000,0,60.000.000.000,0,01/2020/GCNETF-VSD-39,25/01/2021
41,Điều chỉnh lần 40,,14.500.000,0,145.000.000.000,0,01/2020/GCNETF-VSD-40,26/01/2021
42,Điều chỉnh lần 41,,3.600.000,0,36.000.000.000,0,01/2020/GCNETF-VSD-41,08/02/2021
43,Điều chỉnh lần 42,,4.100.000,0,41.000.000.000,0,01/2020/GCNETF-VSD-42,09/02/2021
44,Điều chỉnh lần 43,,5.200.000,0,52.000.000.000,0,01/2020/GCNETF-VSD-43,18/02/2021
45,Điều chỉnh lần 44,,3.400.000,0,34.000.000.000,0,01/2020/GCNETF-VSD-44,19/02/2021
46,Điều chỉnh lần 45,,500.000,0,5.000.000.000,0,01/2020/GCNETF-VSD-45,25/02/2021
47,Điều chỉnh lần 46,,200.000,0,2.000.000.000,0,01/2020/GCNETF-VSD-46,26/02/2021
48,Điều chỉnh lần 47,,300.000,0,3.000.000.000,0,01/2020/GCNETF-VSD-47,01/03/2021
49,Điều chỉnh lần 48,,200.000,0,2.000.000.000,0,01/2020/GCNETF-VSD-48,03/03/2021
50,Điều chỉnh lần 49,,200.000,0,2.000.000.000,0,01/2020/GCNETF-VSD-49,04/03/2021
51,Điều chỉnh lần 50,,0,-300.000,0,-3.000.000.000,01/2020/GCNETF-VSD-50,25/03/2021
52,Điều chỉnh lần 51,,0,-800.000,0,-8.000.000.000,01/2020/GCNETF-VSD-51,08/04/2021
53,Điều chỉnh lần 52,,13.000.000,0,130.000.000.000,0,01/2020/GCNETF-VSD-52,15/04/2021
54,Điều chỉnh lần 53,,200.000,0,2.000.000.000,0,01/2020/GCNETF-VSD-53,22/04/2021
55,Điều chỉnh lần 54,,0,-800.000,0,-8.000.000.000,01/2020/GCNETF-VSD-54,23/04/2021
56,Điều chỉnh lần 55,,0,-400.000,0,-4.000.000.000,01/2020/GCNETF-VSD-55,26/04/2021
57,Điều chỉnh lần 56,,500.000,0,5.000.000.000,0,01/2020/GCNETF-VSD-56,11/05/2021
58,Điều chỉnh lần 57,,300.000,0,3.000.000.000,0,01/2020/GCNETF-VSD-57,12/05/2021
