STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,6.000.000,60.000.000.000,85/2009/GCNCP-VSD,12/11/2009
2,Điều chỉnh lần 1,Thay đổi tên TCPH,0,0,số: 85/2009/GCNCP-VSD-1,15/07/2019
3,Điều chỉnh lần 2,Đăng ký bổ sung,24.000.000,240.000.000.000,85/2009/GCNCP-VSD-2,19/03/2021
4,Điều chỉnh lần 3,Đăng ký bổ sung,74.999.978,749.999.780.000,85/2009/GCNCP-VSD-3,27/05/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,104.999.978,1.049.999.780.000,,
