STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,4.500.000,45.000.000.000,13/GCN/TTGD-LK,06/05/2002
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.000.000,20.000.000.000,17/GCNCP-CNTTLK,20/07/2006
3,Điều chỉnh lần 2,Đăng ký bổ sung,3.463.450,34.634.500.000,94/2007/GCNCP-CNTTLK,18/10/2007
4,Điều chỉnh lần 4,Đăng ký bổ sung,573.943,5.739.430.000,Số 94/2007/GCNCP-CNVSD-4,22/04/2016
5,Điều chỉnh lần 5,Đăng ký bổ sung,1.013.951,10.139.510.000,số 94/2007/GCNCP-VSD-5,02/11/2016
6,Điều chỉnh lần 6,Đăng ký bổ sung,1.115.267,11.152.670.000,94/2007/GCNCP-VSD-6,10/07/2017
7,Điều chỉnh lần 7,Đăng ký bổ sung,613.275,6.132.750.000,số 94/2007/GCNCP-VSD-7,12/06/2018
8,Điều chỉnh lần 8,Đăng ký bổ sung,643.887,6.438.870.000,số 94/2007/GCNCP-VSD-8,12/06/2019
9,Điều chỉnh lần 9,Đăng ký bổ sung,676.082,6.760.820.000,94/2007/GCNCP-VSD-9,17/07/2020
10,Điều chỉnh lần 10,Đăng ký bổ sung,1.420.112,14.201.120.000,94/2007/GCNCP-VSD-10,11/06/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,16.019.967,160.199.670.000,,
