STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,476.399.820,4.763.998.200.000,096/2009/GCNCP-CNVSD,30/10/2009
2,Điều chỉnh lần 1,Đăng ký bổ sung,9.000.000,90.000.000.000,10/2010/GCNCP-CNVSD,19/01/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,29.872.449,298.724.490.000,096/2009/GCMCP-VSD-2,25/11/2010
4,Điều chỉnh lần 3,Đăng ký bổ sung,172.007.854,1.720.078.540.000,096/2009/GCNCP-VSD-3,16/08/2012
5,Điều chỉnh lần 4,Đăng ký bổ sung,17.860.750,178.607.500.000,096/2009/GCNCP-VSD-4,18/06/2013
6,Điều chỉnh lần 5,Đăng ký bổ sung,29.770.465,297.704.650.000,096/2009/GCNCP-VSD-5,12/12/2013
7,Điều chỉnh lần 6,Đăng ký bổ sung,896.802,8.968.020.000,096/2009/GCNCP-VSD-6,27/08/2014
8,Điều chỉnh lần 7,Đăng ký bổ sung,10.909.721,109.097.210.000,096/2009/GCNCP-VSD-7,28/07/2015
9,Điều chỉnh lần 8,Thay đổi tên TCPH,0,0,096/2009/GCNCP-VSD-8,01/10/2015
10,Điều chỉnh lần 9,Đăng ký bổ sung,9.357.813,93.578.130.000,096/2009/GCNCP-VSD-9,24/06/2016
11,Điều chỉnh lần 10,Đăng ký bổ sung,12.000.000,120.000.000.000,096/2009/GCNCP-VSD-10,04/01/2017
12,Điều chỉnh lần 11,Đăng ký bổ sung,379.420.700,3.794.207.000.000,096/2009/GCNCP-VSD-11,15/02/2017
13,Điều chỉnh lần 12,Đăng ký bổ sung,9.877.600,98.776.000.000,096/2009/GCNCP-VSD-12,23/08/2017
14,Điều chỉnh lần 13,Đăng ký bổ sung,5.775.574,57.755.740.000,số 096/2009/GCNCP-VSD-13,21/06/2018
15,Điều chỉnh lần 14,Đăng ký bổ sung,5.796.899,57.968.990.000,số 096/2009/GCNCP-VSD-14,08/07/2019
16,Điều chỉnh lần 15,Đăng ký bổ sung,5.736.799,57.367.990.000,số 096/2009/GCNCP-VSD-15,01/09/2020
17,Điều chỉnh lần 16,Đăng ký bổ sung,5.851.446,58.514.460.000,096/2009/GCNCP-VSD-16,15/06/2021
18,Điều chỉnh lần 17,Đăng ký bổ sung,236.106.884,2.361.068.840.000,096/2009/GCNCP-VSD-17,05/05/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.416.641.576,14.166.415.760.000,,
