STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,2.000.000,số 03/2020/GCNCW-VSD,06/01/2020,
2,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-800.000,số 03/2020/GCNCW-VSD-1,30/03/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.200.000,,,
