STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,8.400.000,84.000.000.000,44/2006/GCNCP-CNTTLK,23/11/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,838.750,8.387.500.000,24/GCNCP-CNTTLK,15/05/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.421.070,24.210.700.000,117/GCNCP-CNTTLK,10/12/2007
4,Điều chỉnh lần 3,Đăng ký bổ sung,3.554.680,35.546.800.000,44/2006/GCNCP-CNVSD-3,19/04/2011
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.491.310,14.913.100.000,44/2006/GCNCP-VSD-4,07/11/2012
6,Điều chỉnh lần 5,Đăng ký bổ sung,8.352.776,83.527.760.000,44/2006/GCNCP-VSD-5,25/09/2014
7,Điều chỉnh lần 6,Đăng ký bổ sung,1.252.900,12.529.000.000,44/2006/GCNCP-VSD-6,26/11/2014
8,Điều chỉnh lần 7,Đăng ký bổ sung,2.631.160,26.311.600.000,44/2006/GCNCP-VSD-7,26/01/2015
9,Điều chỉnh lần 8,Đăng ký bổ sung,8.682.793,86.827.930.000,số 44/2006/GCNCP-VSD-8,28/03/2017
10,Điều chỉnh lần 9,Đăng ký bổ sung,1.447.000,14.470.000.000,44/2006/GCNCP-VSD-9,29/03/2017
11,Điều chỉnh lần 10,Đăng ký bổ sung,3.905.712,39.057.120.000,44/2006/GCNCP-VSD-10,19/06/2017
12,Điều chỉnh lần 11,Đăng ký bổ sung,6.443.008,64.430.080.000,số 44/2006/GCNCP-VSD-11,27/06/2018
13,Điều chỉnh lần 12,Đăng ký bổ sung,14.814.911,148.149.110.000,44/2006/GCNCP-VSD-12,07/08/2020
14,Điều chỉnh lần 13,Đăng ký bổ sung,2.469.300,24.693.000.000,số 44/2006/GCNCP-VSD-13,27/10/2020
Tổng cộng:,Tổng cộng:,Tổng cộng:,66.705.370,667.053.700.000,,
