STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,18.450.000,184.500.000.000,111/2009/GCNCP-CNVSD,04/12/2009
2,Điều chỉnh lần 1,Đăng ký bổ sung,12.300.000,123.000.000.000,102/2010/GCNCP-CNVSD,07/07/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.020.000,10.200.000.000,102/2010/GCNCP-CNVSD-2,26/09/2011
4,Điều chỉnh lần 3,Đăng ký bổ sung,10.430.000,104.300.000.000,Số 102/2010/GCNCP-VSD-3,11/04/2012
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.053.000,10.530.000.000,102/2010/GCNCP/VSD-4,19/08/2015
6,Điều chỉnh lần 5,Đăng ký bổ sung,3.604.530,36.045.300.000,102/2009/GCNCP/VSD-5,06/01/2016
7,Điều chỉnh lần 6,Thay đổi tên TCPH,0,0,số 102/2010/GCNCP/VSD-6,16/06/2016
8,Điều chỉnh lần 7,Đăng ký bổ sung,2.339.540,23.395.400.000,số 102/2009/GCNCP-VSD-7,05/09/2016
9,Điều chỉnh lần 8,Đăng ký bổ sung,16.376.179,163.761.790.000,số 102/2009/GCNCP-VSD-8,07/11/2016
10,Điều chỉnh lần 9,Đăng ký bổ sung,11.476.751,114.767.510.000,số 102/2009/GCNCP-VSD-9,01/12/2016
11,Điều chỉnh lần 10,Đăng ký bổ sung,1.305.000,13.050.000.000,số 102/2009/GCNCP-VSD-10,29/01/2018
12,Điều chỉnh lần 11,Đăng ký bổ sung,900.000,9.000.000.000,số 102/2009/GCNCP-VSD-11,08/03/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,79.255.000,792.550.000.000,,
