STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,10.897.600,108.976.000.000,199/2017/GCNCP-VSD,19/10/2017
2,Điều chỉnh lần 1,Đăng ký bổ sung,984.800,9.848.000.000,số 199/2017/GCNCP-VSD-1,28/05/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,11.882.400,118.824.000.000,,
