STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,55.000.000,550.000.000.000,282/2010/GCNCP-VSD,26/11/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.749.995,27.499.950.000,282/2010/GCNCP-VSD-1,07/06/2012
Tổng cộng:,Tổng cộng:,Tổng cộng:,57.749.995,577.499.950.000,,
