STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,43.000.000,430.000.000.000,số 191/2016/GCNCP-VSD,13/12/2016
2,Điều chỉnh lần 1,Đăng ký bổ sung,50.600.000,506.000.000.000,191/2016/GCNCP-VSD-1,22/08/2017
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.963.749,29.637.490.000,số 191/2016/GCNCP-VSD-2,30/12/2020
4,Điều chỉnh lần 3,Đăng ký bổ sung,5.192.826,51.928.260.000,191/2016/GCNCP-VSD-3,13/07/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,101.756.575,1.017.565.750.000,,
