STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,2.000.000,số 135/2020/GCNCW-VSD,01/09/2020,
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.000.000,số 135/2020/GCNCW-VSD-1,14/12/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.000.000,,,
