STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,6.900.000,69.000.000.000,40/2014/GCNCP-VSD,09/06/2014
2,Điều chỉnh lần 1,Đăng ký bổ sung,7.245.000,72.450.000.000,40/2014/GCNCP-VSD-1,15/07/2015
3,Điều chỉnh lần 2,Đăng ký bổ sung,9.951.860,99.518.600.000,số 40/2014/GCNCP-VSD-2,14/01/2016
4,Điều chỉnh lần 3,Đăng ký bổ sung,11.591.770,115.917.700.000,số 40/2014/GCNCP-VSD-3,12/10/2016
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.200.000,12.000.000.000,40/2014/GCNCP-VSD-4,28/11/2016
6,Điều chỉnh lần 5,Thay đổi tên TCPH,0,0,40/2014/GCNCP-VSD-5,13/07/2017
7,Điều chỉnh lần 6,Đăng ký bổ sung,3.135.477,31.354.770.000,40/2014/GCNCP-VSD-6,07/08/2017
8,Điều chỉnh lần 7,Đăng ký bổ sung,3.841.118,38.411.180.000,số 40/2014/GCNCP-VSD-7,17/09/2020
9,Điều chỉnh lần 8,Đăng ký bổ sung,2.188.200,21.882.000.000,số 40/2014/GCNCP-VSD-8,28/12/2020
10,Điều chỉnh lần 9,Đăng ký bổ sung,23.022.855,230.228.550.000,40/2014/GCNCP-VSD-9,05/05/2021
11,Điều chỉnh lần 10,Đăng ký bổ sung,34.534.390,345.343.900.000,40/2014/GCNCP-VSD-10,26/08/2021
12,Điều chỉnh lần 11,Đăng ký bổ sung,15.000.000,150.000.000.000,40/2014/GCNCP-VSD-11,04/01/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,118.610.670,1.186.106.700.000,,
