STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,60.000.000,600.000.000.000,60/2009/GCNCP-CNTTLK,10/08/2009
2,Điều chỉnh lần 1,Đăng ký bổ sung,10.000.000,100.000.000.000,99/2009/GCNCP-CNVSD,12/11/2009
3,Điều chỉnh lần 2,Đăng ký bổ sung,30.000.000,300.000.000.000,14/2010/GCNCP-CNVSD,21/01/2010
4,Điều chỉnh lần 3,Đăng ký bổ sung,29.997.818,299.978.180.000,60/2009/GCNCP-VSD-3,19/12/2011
5,Điều chỉnh lần 4,Đăng ký bổ sung,12.997.769,129.977.690.000,60/2009/GCNCP-VSD-4,04/02/2013
6,Điều chỉnh lần 5,Đăng ký bổ sung,35.748.033,357.480.330.000,60/2009/GCNCP-VSD-5,11/09/2014
7,Điều chỉnh lần 6,Đăng ký bổ sung,19.900.000,199.000.000.000,60/2009/GCNCP-VSD - 6,11/09/2015
8,Điều chỉnh lần 7,Đăng ký bổ sung,15.890.173,158.901.730.000,60/2009/GCNCP-VSD - 7,10/12/2015
9,Điều chỉnh lần 8,Đăng ký bổ sung,17.161.026,171.610.260.000,số 60/2009/GCNCP-VSD-8,30/06/2016
10,Điều chỉnh lần 9,Đăng ký bổ sung,6.500.000,65.000.000.000,số 60/2009/GCNCP-VSD-9,13/01/2017
11,Điều chỉnh lần 10,Đăng ký bổ sung,14.289.964,142.899.640.000,số 60/2009/GCNCP-VSD - 10,12/09/2018
12,Điều chỉnh lần 11,Đăng ký bổ sung,47.463.661,474.636.610.000,số 60/2009/GCNCP-VSD-11,09/05/2019
13,Điều chỉnh lần 12,Đăng ký bổ sung,14.995.157,149.951.570.000,số 60/2009/GCNCP-VSD-12,11/09/2019
14,Điều chỉnh lần 13,Đăng ký bổ sung,3.548.950,35.489.500.000,số 60/2009/GCNCP-VSD-13,27/07/2020
15,Điều chỉnh lần 14,Đăng ký bổ sung,31.846.682,318.466.820.000,60/2009/GCNCP-VSD-14,20/04/2021
16,Điều chỉnh lần 15,Đăng ký bổ sung,59.551.729,595.517.290.000,60/2009/GCNCP-VSD-15,01/07/2021
17,Điều chỉnh lần 16,Đăng ký bổ sung,15.000.000,150.000.000.000,60/2009/GCNCP-VSD-16,21/09/2021
18,Điều chỉnh lần 17,Đăng ký bổ sung,75.000.000,750.000.000.000,60/2009/GCNCP-VSD-17,27/10/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,499.890.962,4.998.909.620.000,,
