STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,5.000.000,119/2020/GCNCW-VSD,03/08/2020,
2,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-2.000.000,số 119/2020/GCNCW-VSD-1,28/10/2020,
3,Điều chỉnh lần 2,Đăng ký hủy 1 phần,-1.500.000,số 119/2020/GCNCW-VSD-2,04/12/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.500.000,,,
