STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,184.000.000,1.840.000.000.000,888/2010/GCNCP-VSD,22/12/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,100.000.000,1.000.000.000.000,888/2010/GCNCP-VSD-1,14/05/2015
3,Điều chỉnh lần 2,Đăng ký hủy 1 phần,-100.000.000,-1.000.000.000.000,888/2010/GCNCP-VSD-2,14/07/2017
Tổng cộng:,Tổng cộng:,Tổng cộng:,184.000.000,1.840.000.000.000,,
