STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,1.500.000,số 100/2020/GCNCW-VSD,25/06/2020,
2,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-600.000,số 100/2020/GCNCW-VSD-1,22/09/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,900.000,,,
