STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,1.000.000,số 223/2020/GCNCW-VSD,17/12/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.000.000,,,
