STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,4.000.000,126/2021/GCNCW-VSD,30/09/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.000.000,,,
