STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,5.000.000,số 29/2019/GCNCW-VSD,07/10/2019,
2,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-2.000.000,số 29/2019/GCNCW-VSD-1,08/01/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.000.000,,,
