STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.890.000,58.900.000.000,147/2010/GCNCP-VSD,29/06/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.945.000,29.450.000.000,147/2010/GCNCP-VSD-1,25/04/2011
3,Điều chỉnh lần 2,Đăng ký bổ sung,265.000,2.650.000.000,147/2010/GCNCP-VSD-2,05/02/2015
4,Điều chỉnh lần 3,Đăng ký bổ sung,2.500.000,25.000.000.000,147/2010/GCNCP-VSD-3,09/03/2015
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.159.997,11.599.970.000,147/2010/GCNCP-VSD-4,28/07/2017
6,Điều chỉnh lần 5,Đăng ký bổ sung,2.041.528,20.415.280.000,số 147/2010/GCNCP-VSD-5,06/06/2018
7,Điều chỉnh lần 6,Đăng ký bổ sung,250.000,2.500.000.000,số 147/2010/GCNCP-VSD-6,09/08/2018
8,Điều chỉnh lần 7,Đăng ký bổ sung,2.408.124,24.081.240.000,số 147/2010/GCNCP-VSD-7,15/11/2019
9,Điều chỉnh lần 8,Đăng ký bổ sung,6.285.316,62.853.160.000,số 147/2010/GCNCP-VSD-8,15/09/2020
10,Điều chỉnh lần 9,Đăng ký bổ sung,400.000,4.000.000.000,số 147/2010/GCNCP-VSD-9,13/10/2020
11,Điều chỉnh lần 10,Đăng ký bổ sung,3.621.585,36.215.850.000,147/2010/GCNCP-VSD-10,22/06/2021
12,Điều chỉnh lần 11,Đăng ký bổ sung,350.000,3.500.000.000,147/2010/GCNCP-VSD-11,16/07/2021
13,Điều chỉnh lần 12,Đăng ký bổ sung,14.057.970,140.579.700.000,147/2010/GCNCP-VSD-12,14/04/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,42.174.520,421.745.200.000,,
