STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,1.500.000,27/2021/GCNCW-VSD,18/02/2021,
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.000.000,27/2021/GCNCW-VSD-1,17/06/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.500.000,,,
