STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.600.000,16.000.000.000,100/2015/GCNCP-VSD,26/10/2015
2,Điều chỉnh lần 1,Đăng ký bổ sung,3.400.000,34.000.000.000,số 100/2015/GCNCP-VSD-1,21/11/2017
Tổng cộng:,Tổng cộng:,Tổng cộng:,5.000.000,50.000.000.000,,
