STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,10.300.000,103.000.000.000,108/2007/GCNCP-CNTTLK,26/11/2007
2,Điều chỉnh lần 1,Đăng ký bổ sung,10.300.000,103.000.000.000,108/2007/GCNCP-VSD-1,05/02/2015
3,Điều chỉnh lần 2,Đăng ký bổ sung,15.000.000,150.000.000.000,số 108/2007/GCNCP-VSD-2,19/10/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,35.600.000,356.000.000.000,,
